RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	PROJECT_CD	FA	RA	field	Q	Alk	NWQL	isotopes
01305819	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2013-05-30 12:30:00	WG 	009YD0200							
01305820	391559106230901	SC00908113ADDD1 TLSS-03 TURQUOISE LAKE SOUTH SEEP	2013-05-30 14:00:00	WG 	009YD0200							
01305821	391600106235701	TLS-05 TURQUOISE LAKE SOUTH 5	2013-05-30 14:30:00	WS 	009YD2900							
01305822	391606106241601	SC00908113ADB TL-ADIT	2013-05-30 15:45:00	WG 	009YD0200							
01305823	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2013-05-30 17:30:00	WG 	009YD0200							
01305824	391501106225001	SLGS-09 SUGARLOAF GULCH SEEP 9 PIPE NR DINERO, CO	2013-05-31 09:20:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305825	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2013-05-31 09:50:00	WS 	009YD2900							
01305826	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2013-05-31 10:45:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305827	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2013-05-31 11:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305828	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2013-05-31 12:00:00	WS 	009YD2900							
01305829	391518106230901	LSGS-10, LITTLE SUGARLOAF GULCH SEEP 10	2013-05-31 12:30:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305830	391519106230901	LSGS-11, LITTLE SUGARLOAF GULCH SEEP 11	2013-05-31 12:50:00	WG 	009YD0200		00916,00927,00929,00937,00985,01007,01012,01017,01034,01037,01042,01045,01051,01055,01059,01062,01067,01077,01082,01092,01105,01112,01113,01117,01122,01132,01137,01152,01154,01162,01182,01189,01196,01203,01218,01219,01236,01237,01238,01239,01244,01245,01246,01247,82318,82322,82330					
01305832	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2013-05-31 15:00:00	WS 	009YD2900							
01305833	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2013-05-30 14:05:00	WG 	009YD0200							
